symbol,hgnc_id,num_unique_missense,num_unique_missense_vus
BUB1B,HGNC:1149,167,151
CHRNA2,HGNC:1956,175,151
ITGA7,HGNC:6143,176,151
CARD14,HGNC:16446,181,149
DAG1,HGNC:2666,164,149
PLOD1,HGNC:9081,177,149
TBC1D24,HGNC:29203,179,149
TYK2,HGNC:12440,170,149
ATP1A2,HGNC:800,191,148
CDC73,HGNC:16783,169,148
CNGB1,HGNC:2151,179,148
NSD1,HGNC:14234,461,148
PEX1,HGNC:8850,242,148
LRP4,HGNC:6696,168,147
SKI,HGNC:10896,178,147
TNNT2,HGNC:11949,228,147
WFS1,HGNC:12762,263,147
LRP2,HGNC:6694,230,146
POMGNT1,HGNC:19139,188,145
NEXMIF,HGNC:29433,231,144
SLC22A5,HGNC:10969,270,144
TNNI3,HGNC:11947,206,144
COL1A2,HGNC:2198,326,143
GRIN2B,HGNC:4586,299,143
NOD2,HGNC:5331,219,143
OTOF,HGNC:8515,214,143
RBP3,HGNC:9921,159,143
POMT1,HGNC:9202,178,142
PRICKLE1,HGNC:17019,151,142
TPP1,HGNC:2073,209,142
ACADVL,HGNC:92,288,141
LRSAM1,HGNC:25135,184,141
DIAPH1,HGNC:2876,168,140
KIF1B,HGNC:16636,165,140
PCARE,HGNC:34383,183,140
FIG4,HGNC:16873,164,139
DOK7,HGNC:26594,194,138
FKTN,HGNC:3622,169,138
KIAA1549,HGNC:22219,172,138
MYH14,HGNC:23212,185,138
TRPM1,HGNC:7146,173,137
BICD2,HGNC:17208,176,136
CPLANE1,HGNC:25801,207,136
ENG,HGNC:3349,265,136
MED12,HGNC:11957,202,136
PIGG,HGNC:25985,173,136
SDHD,HGNC:10683,191,136
TECTA,HGNC:11720,183,136
TPM1,HGNC:12010,188,136
ALDH7A1,HGNC:877,185,135
XRCC2,HGNC:12829,146,135
A2ML1,HGNC:23336,203,133
CBS,HGNC:1550,214,133
COL1A1,HGNC:2197,427,133
PTCH2,HGNC:9586,160,133
